file,sample_id,datetime,equiv_diam_mm,number_punches,pred_multi,prob_multi,mm_per_pixel
SYN0001-20240101-153402.jpg,SYN0001,2024-01-01 15:34:02,5.5,1,controls,0.065,0.0589
SYN0002-20240101-183939.jpg,SYN0002,2024-01-01 18:39:39,7.33,1,controls,0.153,0.0589
SYN0003-20240101-203600.jpg,SYN0003,2024-01-01 20:36:00,9.48,2,controls,0.016,0.0589
SYN0004-20240102-041500.jpg,SYN0004,2024-01-02 04:15:00,9.42,2,controls,0.185,0.0589
SYN0005-20240102-052726.jpg,SYN0005,2024-01-02 05:27:26,10.52,4,controls,0.014,0.0589
SYN0006-20240102-130940.jpg,SYN0006,2024-01-02 13:09:40,8.13,2,controls,0.043,0.0589
SYN0007-20240102-153139.jpg,SYN0007,2024-01-02 15:31:39,8.21,2,controls,0.04,0.0589
SYN0008-20240103-001044.jpg,SYN0008,2024-01-03 00:10:44,8.14,2,controls,0.027,0.0589
SYN0009-20240103-060605.jpg,SYN0009,2024-01-03 06:06:05,7.62,1,controls,0.18,0.0589
SYN0010-20240103-074911.jpg,SYN0010,2024-01-03 07:49:11,5.08,1,controls,0.112,0.0589
SYN0011-20240103-095244.jpg,SYN0011,2024-01-03 09:52:44,10.43,4,controls,0.004,0.0589
SYN0012-20240103-125130.jpg,SYN0012,2024-01-03 12:51:30,10.23,4,controls,0.0,0.0589
SYN0013-20240103-161244.jpg,SYN0013,2024-01-03 16:12:44,6.72,1,controls,0.034,0.0589
SYN0014-20240103-202949.jpg,SYN0014,2024-01-03 20:29:49,8.36,2,controls,0.021,0.0589
SYN0015-20240104-004448.jpg,SYN0015,2024-01-04 00:44:48,7.89,1,controls,0.184,0.0589
SYN0016-20240104-020547.jpg,SYN0016,2024-01-04 02:05:47,7.95,1,controls,0.006,0.0589
SYN0017-20240104-185717.jpg,SYN0017,2024-01-04 18:57:17,5.79,1,controls,0.032,0.0589
SYN0018-20240105-083520.jpg,SYN0018,2024-01-05 08:35:20,8.06,2,controls,0.035,0.0589
SYN0019-20240105-085045.jpg,SYN0019,2024-01-05 08:50:45,9.9,2,controls,0.024,0.0589
SYN0020-20240105-095321.jpg,SYN0020,2024-01-05 09:53:21,12.84,4,controls,0.039,0.0589
SYN0021-20240105-152146.jpg,SYN0021,2024-01-05 15:21:46,9.6,2,controls,0.142,0.0589
SYN0022-20240105-215439.jpg,SYN0022,2024-01-05 21:54:39,4.19,1,controls,0.19,0.0589
SYN0023-20240106-014912.jpg,SYN0023,2024-01-06 01:49:12,7.28,1,controls,0.146,0.0589
SYN0024-20240106-070011.jpg,SYN0024,2024-01-06 07:00:11,9.57,2,controls,0.0,0.0589
SYN0025-20240106-090844.jpg,SYN0025,2024-01-06 09:08:44,4.26,1,controls,0.105,0.0589
SYN0026-20240106-111547.jpg,SYN0026,2024-01-06 11:15:47,8.1,2,controls,0.001,0.0589
SYN0027-20240106-140910.jpg,SYN0027,2024-01-06 14:09:10,10.43,4,controls,0.007,0.0589
SYN0028-20240106-151921.jpg,SYN0028,2024-01-06 15:19:21,4.39,1,controls,0.019,0.0589
SYN0029-20240106-220249.jpg,SYN0029,2024-01-06 22:02:49,8.1,2,controls,0.14,0.0589
SYN0030-20240107-071751.jpg,SYN0030,2024-01-07 07:17:51,11.78,4,controls,0.011,0.0589
SYN0031-20240107-080545.jpg,SYN0031,2024-01-07 08:05:45,8.99,2,controls,0.016,0.0589
SYN0032-20240107-094959.jpg,SYN0032,2024-01-07 09:49:59,7.42,1,0304,0.733,0.0589
SYN0033-20240107-141749.jpg,SYN0033,2024-01-07 14:17:49,10.24,4,controls,0.144,0.0589
SYN0034-20240107-145725.jpg,SYN0034,2024-01-07 14:57:25,7.18,1,controls,0.012,0.0589
SYN0035-20240107-162616.jpg,SYN0035,2024-01-07 16:26:16,9.32,2,controls,0.057,0.0589
SYN0036-20240107-215850.jpg,SYN0036,2024-01-07 21:58:50,6.07,1,controls,0.019,0.0589
SYN0037-20240108-102433.jpg,SYN0037,2024-01-08 10:24:33,7.01,1,controls,0.001,0.0589
SYN0038-20240108-124509.jpg,SYN0038,2024-01-08 12:45:09,9.3,2,controls,0.0,0.0589
SYN0039-20240108-130716.jpg,SYN0039,2024-01-08 13:07:16,10.12,4,controls,0.001,0.0589
SYN0040-20240108-133909.jpg,SYN0040,2024-01-08 13:39:09,4.35,1,0304,0.909,0.0589
SYN0041-20240108-151050.jpg,SYN0041,2024-01-08 15:10:50,9.27,2,controls,0.017,0.0589
SYN0042-20240108-160950.jpg,SYN0042,2024-01-08 16:09:50,7.49,1,controls,0.145,0.0589
SYN0043-20240108-183853.jpg,SYN0043,2024-01-08 18:38:53,6.63,1,controls,0.09,0.0589
SYN0044-20240108-201522.jpg,SYN0044,2024-01-08 20:15:22,10.17,4,controls,0.049,0.0589
SYN0045-20240109-051349.jpg,SYN0045,2024-01-09 05:13:49,8.2,2,controls,0.002,0.0589
SYN0046-20240109-123729.jpg,SYN0046,2024-01-09 12:37:29,6.99,1,controls,0.046,0.0589
SYN0047-20240110-051039.jpg,SYN0047,2024-01-10 05:10:39,7.69,1,0304,0.888,0.0589
SYN0048-20240110-060118.jpg,SYN0048,2024-01-10 06:01:18,7.31,1,controls,0.095,0.0589
SYN0049-20240110-125505.jpg,SYN0049,2024-01-10 12:55:05,9.21,2,controls,0.012,0.0589
SYN0050-20240110-165643.jpg,SYN0050,2024-01-10 16:56:43,9.88,2,controls,0.001,0.0589
SYN0051-20240110-203837.jpg,SYN0051,2024-01-10 20:38:37,10.34,4,controls,0.114,0.0589
SYN0052-20240110-220244.jpg,SYN0052,2024-01-10 22:02:44,10.35,4,controls,0.098,0.0589
SYN0053-20240111-035111.jpg,SYN0053,2024-01-11 03:51:11,10.14,4,0304,0.905,0.0589
SYN0054-20240111-225437.jpg,SYN0054,2024-01-11 22:54:37,8.7,2,controls,0.008,0.0589
SYN0055-20240112-010741.jpg,SYN0055,2024-01-12 01:07:41,8.08,2,controls,0.107,0.0589
SYN0056-20240112-032745.jpg,SYN0056,2024-01-12 03:27:45,4.46,1,controls,0.041,0.0589
SYN0057-20240112-063254.jpg,SYN0057,2024-01-12 06:32:54,9.51,2,controls,0.18,0.0589
SYN0058-20240112-074440.jpg,SYN0058,2024-01-12 07:44:40,10.47,4,controls,0.006,0.0589
SYN0059-20240112-190622.jpg,SYN0059,2024-01-12 19:06:22,8.29,2,controls,0.025,0.0589
SYN0060-20240112-210059.jpg,SYN0060,2024-01-12 21:00:59,8.73,2,controls,0.106,0.0589
SYN0061-20240113-055027.jpg,SYN0061,2024-01-13 05:50:27,7.35,1,0304,0.964,0.0589
SYN0062-20240113-060559.jpg,SYN0062,2024-01-13 06:05:59,7.22,1,controls,0.021,0.0589
SYN0063-20240113-113931.jpg,SYN0063,2024-01-13 11:39:31,10.23,4,controls,0.063,0.0589
SYN0064-20240113-115316.jpg,SYN0064,2024-01-13 11:53:16,7.55,1,controls,0.019,0.0589
SYN0065-20240113-131541.jpg,SYN0065,2024-01-13 13:15:41,11.05,4,controls,0.016,0.0589
SYN0066-20240113-141050.jpg,SYN0066,2024-01-13 14:10:50,7.46,1,0304,0.93,0.0589
SYN0067-20240113-222139.jpg,SYN0067,2024-01-13 22:21:39,8.9,2,controls,0.0,0.0589
SYN0068-20240113-224637.jpg,SYN0068,2024-01-13 22:46:37,10.47,4,controls,0.019,0.0589
SYN0069-20240113-233023.jpg,SYN0069,2024-01-13 23:30:23,10.21,4,controls,0.011,0.0589
SYN0070-20240114-022237.jpg,SYN0070,2024-01-14 02:22:37,6.25,1,controls,0.11,0.0589
SYN0071-20240114-060807.jpg,SYN0071,2024-01-14 06:08:07,8.96,2,controls,0.086,0.0589
SYN0072-20240114-070646.jpg,SYN0072,2024-01-14 07:06:46,11.36,4,0304,0.956,0.0589
SYN0073-20240114-074752.jpg,SYN0073,2024-01-14 07:47:52,5.08,1,controls,0.214,0.0589
